time	temp	humidity
647	74.48	33.10
1662	74.48	33.10
2950	74.48	33.90
3965	74.48	33.90
5252	74.66	35.40
6267	74.66	35.40
7554	74.66	34.40
8569	74.66	34.40
9856	74.66	33.50
10871	74.66	33.50
12157	74.66	32.90
13173	74.66	32.90
14460	74.66	32.70
15476	74.66	32.70
16763	74.66	32.50
17779	74.66	32.50
19066	74.66	32.20
20082	74.66	32.20
21369	74.66	31.80
22385	74.66	31.80
23671	74.66	31.40
24687	74.66	31.40
25974	74.66	31.10
26990	74.66	31.10
28277	74.66	31.00
29293	74.66	31.00
30579	74.66	30.90
31600	74.66	30.90
32887	74.66	30.80
33903	74.66	30.80
35192	74.66	30.70
36208	74.66	30.70
37494	74.66	30.70
38510	74.66	30.70
39797	74.66	30.60
40813	74.66	30.60
42100	74.66	30.40
43116	74.66	30.40
44403	74.66	30.40
45460	74.66	30.40
46746	74.66	30.30
47762	74.66	30.30
49048	74.66	30.30
50064	74.66	30.30
51350	74.66	30.30
52366	74.66	30.30
53652	74.66	30.30
54668	74.66	30.30
55955	74.48	30.20
56971	74.48	30.20
58258	74.66	30.30
59274	74.66	30.30
60561	74.66	30.20
61577	74.66	30.20
62868	74.66	30.10
63884	74.66	30.10
65170	74.66	30.10
66186	74.66	30.10
67472	74.66	30.10
68488	74.66	30.10
69774	74.66	30.10
70793	74.66	30.10
72080	74.66	30.10
73096	74.66	30.10
74383	74.66	30.10
75399	74.66	30.10
76686	74.66	30.10
77702	74.66	30.10
78989	74.66	30.10
80004	74.66	30.10
81291	74.48	30.10
82307	74.48	30.10
83593	74.48	30.00
84609	74.48	30.00
85895	74.66	30.10
86910	74.66	30.10
88197	74.66	30.00
89212	74.66	30.00
90500	74.66	30.00
91515	74.66	30.00
92803	74.66	29.90
93822	74.66	29.90
95110	74.66	29.90
96125	74.66	29.90
97412	74.48	29.80
98427	74.48	29.80
99755	74.66	30.00
100770	74.66	30.00
102056	74.66	30.00
103072	74.66	30.00
104358	74.66	29.90
105374	74.66	29.90
106669	74.66	30.00
107684	74.66	30.00
108972	74.66	30.00
109987	74.66	30.00
111275	74.66	30.00
112290	74.66	30.00
113577	74.48	29.80
114593	74.48	29.80
115880	74.48	29.80
116896	74.48	29.80
118183	74.66	29.90
119199	74.66	29.90
120486	74.66	29.90
121502	74.66	29.90
122789	74.48	29.70
123809	74.48	29.70
125095	74.66	29.80
126111	74.66	29.80
127397	74.66	30.40
128413	74.66	30.40
129700	74.66	30.90
130716	74.66	30.90
132003	74.66	31.40
133019	74.66	31.40
134306	74.66	31.60
135322	74.66	31.60
136609	74.66	31.40
137625	74.66	31.40
138912	74.66	31.30
139931	74.66	31.30
141218	74.66	31.10
142234	74.66	31.10
143521	74.66	30.80
144537	74.66	30.80
145824	74.66	30.50
146840	74.66	30.50
148127	74.66	30.30
149143	74.66	30.30
150430	74.66	30.10
151446	74.66	30.10
152737	74.66	30.00
153795	74.66	30.00
155082	74.66	29.90
156098	74.66	29.90
157385	74.66	30.10
158401	74.66	30.10
159688	74.66	30.20
160704	74.66	30.20
161991	74.66	30.30
163007	74.66	30.30
164294	74.66	30.60
165310	74.66	30.60
166597	74.66	30.80
167613	74.66	30.80
